id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
41,COMP_M,9,9_41,M.USER.APP.9,13,81,32,23,None,52.68970588235294,1205.0000469348265,1257.6897528171794,1198.0,1205.0000469348265
42,COMP_M,8,8_37,M.USER.APP.8,12,72,22,11,None,41.97595473833098,1209.0000911876268,1250.9760459259578,1201.0,1209.0000911876268
35,COMP_M,7,7_31,7_(30-31),57,58,4,38,7_30,81.99675324675324,1209.9296566554262,1291.9264099021796,1205.9296023104262,1209.9296566554262
35,COMP_M,7,7_33,7_(30-33),57,60,4,1,7_30,30.727087576374746,1211.9297059040796,1242.6567934804543,1205.9296023104262,1211.9297059040796
43,COMP_M,4,4_19,M.USER.APP.4,5,42,40,36,None,67.82809917355372,1216.0001363937997,1283.8282355673534,1204.0,1216.0001363937997
40,COMP_M,4,4_20,4_(19-20),46,43,22,22,4_19,59.51264980026631,1220.6419018479749,1280.154551648241,1220.6419018479749,1220.6419018479749
40,COMP_M,4,4_22,4_(19-22),46,45,22,22,4_19,66.62183754993342,1220.6419018479749,1287.2637393979082,1220.6419018479749,1220.6419018479749
37,COMP_M,0,0_1,0_(0-1),15,16,12,12,0_0,110.49900199600799,1226.91425399162,1337.413255987628,1226.91425399162,1226.91425399162
40,COMP_M,4,4_21,4_(19-21),46,36,22,19,4_19,70.28070175438596,1232.642026206215,1302.922727960601,1220.6419018479749,1232.642026206215
32,COMP_M,7,7_34,7_(32-34),67,69,8,8,7_32,40.49789029535865,1234.5143647764223,1275.012255071781,1234.5143647764223,1234.5143647764223
42,COMP_M,8,8_38,8_(37-38),72,73,11,11,8_37,60.74964639321075,1250.9760459259578,1311.7256923191685,1250.9760459259578,1250.9760459259578
41,COMP_M,9,9_42,9_(41-42),81,77,23,23,9_41,62.15147058823529,1257.6897528171794,1319.8412234054147,1257.6897528171794,1257.6897528171794
41,COMP_M,9,9_44,9_(41-44),81,84,23,23,9_41,50.72352941176471,1257.6897528171794,1308.4132822289441,1257.6897528171794,1257.6897528171794
38,COMP_M,3,3_14,3_(13-14),28,29,12,37,3_13,90.38841567291311,1261.8026410375278,1352.191056710441,1254.8025309153945,1261.8026410375278
